GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015092010,2015-09-20,1,10,35,BAL,OAK,1,10,41,,0,,0,"(10:35) 5-J.FLACCO PASS INCOMPLETE DEEP RIGHT TO 89-S.SMITH.",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"DEEP RIGHT",0,0,0,,0,0,0,0,0,0,,41,OWN,0,,0,,0
2015092010,2015-09-20,3,6,50,BAL,OAK,3,3,38,,0,,0,"(6:50) (SHOTGUN) 5-J.FLACCO PASS INCOMPLETE DEEP LEFT TO 14-M.BROWN [99-A.SMITH].",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"DEEP LEFT",0,0,0,,0,0,0,0,0,0,,38,OWN,0,,0,,0
2015092010,2015-09-20,4,0,0,,BAL,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092011,2015-09-20,3,15,0,MIA,JAC,1,10,20,,1,,0,"(15:00) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 26-L.MILLER TO MIA 32 FOR 12 YARDS (23-J.SAMPLE).",0,,,2015,12,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
2015092011,2015-09-20,4,6,17,JAC,MIA,2,4,38,,0,,0,"(6:17) (SHOTGUN) 24-T.YELDON UP THE MIDDLE TO JAC 40 FOR 2 YARDS (50-O.VERNON).",0,,,2015,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,38,OWN,0,,0,,0
2015092011,2015-09-20,4,0,48,,MIA,0,0,0,,1,,0,"TIMEOUT #2 BY MIA AT 00:48.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092012,2015-09-20,2,7,14,DAL,PHI,4,7,31,,0,,0,"(7:14) 6-C.JONES PUNTS 43 YARDS TO PHI 26, CENTER-91-L.LADOUCEUR, FAIR CATCH BY 43-D.SPROLES.",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,31,OWN,0,,0,,0
2015092012,2015-09-20,4,12,43,DAL,PHI,1,10,40,,0,,0,"(12:43) 20-D.MCFADDEN LEFT END TO DAL 42 FOR 2 YARDS (98-C.BARWIN).",0,,,2015,2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",40,OWN,0,,0,,0
2015092013,2015-09-20,1,10,6,,SEA,0,0,0,,1,,0,"TIMEOUT #1 BY SEA AT 10:06.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092013,2015-09-20,3,3,12,SEA,GB,1,10,20,,0,,0,"(3:12) (SHOTGUN) 3-R.WILSON PASS SHORT MIDDLE TO 89-D.BALDWIN TO SEA 25 FOR 5 YARDS (33-M.HYDE).",0,,,2015,5,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
