name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_all_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
A.Hicks,00-0029657,no,NO,DE,2,0,,,,0,,,,,,,1,,1,-9,,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Graham,00-0019536,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,,0,,,,0,2,5,0,1,4,0,4,0,4,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Robinson,00-0027882,no,NO,DB,1,0,,,,0,,,,,2,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Dixon,00-0030802,no,NO,DB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Meachem,00-0025414,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,1,2,0,0,0,,6,25,,,,,,,,
K.Knox,00-0029649,no,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Davis,00-0031427,no,NO,OLB,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Dickson,00-0027675,yes,CAR,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
M.White,00-0030259,yes,CAR,,0,0,,,,0,,,,,,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Webb,00-0027796,yes,CAR,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,0,1,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Jacobs,00-0028698,yes,CAR,LB,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Williams,00-0029793,yes,CAR,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,0,0,0,,3,6,,,,,,,,
R.Lester,00-0030254,yes,CAR,,1,0,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Baker,00-0029317,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,,2
M.Nugent,00-0023482,yes,CIN,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,31,,,31,,6,3,,4,0,4,0,4,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Todman,00-0028121,no,JAC,RB,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,39,0,6,0,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,,1,1,1,9,0,0,0,0,,9
C.Peerman,00-0026932,yes,CIN,RB,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,2,4,0,0,0,,19,22,5,4,0,0,0,0,,9
D.Robinson,00-0030547,no,JAC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2,2,0,0,0,,12,10,17,39,5,1,0,0,,94
G.Atkins,00-0027720,yes,CIN,DT,1,0,,,,0,,,,,1,,,,0,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Beadles,00-0027658,no,JAC,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Rey,00-0027245,yes,CIN,OLB,3,0,,,,0,,,,,1,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
